Time(sec); File; Runtime; Memory; Instr.; User-Defined; Patch-Touch; Patch-Dist.; Output Diff.; Decision Dist.
0; ../fuzzer-out-1/afl/queue/id:000000,orig:example.txt; 134397; 240123904; 7; 1; 0; [1,1]; 0; 1
1; ../fuzzer-out-1/afl/queue/id:000001,src:000000,op:havoc,rep:16,+cov,highscore,+odiff,+patchdist; 128972; 240123904; 8; 2; 1; [1,0]; 1; 1
31; ../fuzzer-out-1/afl/queue/id:000002,src:000000+000001,op:splice,rep:16,+cov,+ddiff; 132431; 240123904; 7; 1; 0; [2,1]; 0; 1
51; ../fuzzer-out-1/afl/queue/id:000003,src:000000+000001,op:splice,rep:64,+cov; 135132; 240123904; 7; 1; 0; [2,1]; 0; 1
60; ../fuzzer-out-1/afl/queue/id:000004,src:000000+000002,op:splice,rep:64,+cov; 133187; 240123904; 7; 1; 0; [2,1]; 0; 1
114; ../fuzzer-out-1/afl/queue/id:000005,src:000002,op:havoc,rep:4,+cov; 131864; 240123904; 7; 1; 0; [2,1]; 0; 1
116; ../fuzzer-out-1/afl/queue/id:000006,src:000002,op:havoc,rep:8,+cov; 130756; 240123904; 7; 1; 0; [2,1]; 0; 1
119; ../fuzzer-out-1/afl/queue/id:000007,src:000002,op:havoc,rep:8,+cov; 142247; 240123904; 7; 1; 0; [2,1]; 0; 1
125; ../fuzzer-out-1/afl/queue/id:000008,src:000002,op:havoc,rep:4,+cov; 141584; 240123904; 7; 1; 0; [2,1]; 0; 1
127; ../fuzzer-out-1/afl/queue/id:000009,src:000002,op:havoc,rep:32,+cov; 134487; 240123904; 7; 1; 0; [2,1]; 0; 1
131; ../fuzzer-out-1/afl/queue/id:000010,src:000002,op:havoc,rep:4,+cov; 126508; 240123904; 7; 1; 0; [2,1]; 0; 1
133; ../fuzzer-out-1/afl/queue/id:000011,src:000002,op:havoc,rep:8,+cov; 129242; 240123904; 7; 1; 0; [2,1]; 0; 1
144; ../fuzzer-out-1/afl/queue/id:000012,src:000002,op:havoc,rep:2,+cov; 143287; 240123904; 7; 1; 0; [2,1]; 0; 1
145; ../fuzzer-out-1/afl/queue/id:000013,src:000002,op:havoc,rep:4,+cov; 131183; 240123904; 7; 1; 0; [2,1]; 0; 1
148; ../fuzzer-out-1/afl/queue/id:000014,src:000002,op:havoc,rep:16,+cov; 131484; 240123904; 7; 1; 0; [2,1]; 0; 1
150; ../fuzzer-out-1/afl/queue/id:000015,src:000002,op:havoc,rep:4,+cov; 137274; 240123904; 7; 1; 0; [2,1]; 0; 1
157; ../fuzzer-out-1/afl/queue/id:000016,src:000002,op:havoc,rep:16,+cov; 136331; 240123904; 7; 1; 0; [2,1]; 0; 1
158; ../fuzzer-out-1/afl/queue/id:000017,src:000002,op:havoc,rep:32,+cov; 136591; 240123904; 7; 1; 0; [2,1]; 0; 1
165; ../fuzzer-out-1/afl/queue/id:000018,src:000002,op:havoc,rep:8,+cov; 139205; 240123904; 7; 1; 0; [2,1]; 0; 1
167; ../fuzzer-out-1/afl/queue/id:000019,src:000002,op:havoc,rep:4,+cov; 125017; 240123904; 7; 1; 0; [2,1]; 0; 1
170; ../fuzzer-out-1/afl/queue/id:000020,src:000002,op:havoc,rep:16,+cov; 133531; 240123904; 7; 1; 0; [2,1]; 0; 1
173; ../fuzzer-out-1/afl/queue/id:000021,src:000002,op:havoc,rep:8,+cov; 141540; 240123904; 7; 1; 0; [2,1]; 0; 1
186; ../fuzzer-out-1/afl/queue/id:000022,src:000002,op:havoc,rep:32,+cov; 131663; 240123904; 7; 1; 0; [2,1]; 0; 1
197; ../fuzzer-out-1/afl/queue/id:000023,src:000002,op:havoc,rep:2,+cov; 139815; 240123904; 7; 1; 0; [2,1]; 0; 1
204; ../fuzzer-out-1/afl/queue/id:000024,src:000002,op:havoc,rep:4,+cov; 128720; 240123904; 7; 1; 0; [2,1]; 0; 1
214; ../fuzzer-out-1/afl/queue/id:000025,src:000002+000004,op:splice,rep:8,+cov; 138838; 240123904; 7; 1; 0; [2,1]; 0; 1
222; ../fuzzer-out-1/afl/queue/id:000026,src:000002+000001,op:splice,rep:2,+cov; 138875; 240123904; 7; 1; 0; [2,1]; 0; 1
229; ../fuzzer-out-1/afl/queue/id:000027,src:000002+000026,op:splice,rep:2,+cov; 138838; 240123904; 7; 1; 0; [2,1]; 0; 1
230; ../fuzzer-out-1/afl/queue/id:000028,src:000002+000026,op:splice,rep:4,+cov; 130400; 240123904; 7; 1; 0; [2,1]; 0; 1
250; ../fuzzer-out-1/afl/queue/id:000029,src:000002+000003,op:splice,rep:16,+cov; 130371; 240123904; 7; 1; 0; [2,1]; 0; 1
252; ../fuzzer-out-1/afl/queue/id:000030,src:000002+000003,op:splice,rep:8,+cov; 148359; 240123904; 7; 1; 0; [2,1]; 0; 1
253; ../fuzzer-out-1/afl/queue/id:000031,src:000002+000003,op:splice,rep:4,+cov; 128753; 240123904; 7; 1; 0; [2,1]; 0; 1
257; ../fuzzer-out-1/afl/queue/id:000032,src:000002+000003,op:splice,rep:16,+cov; 131086; 240123904; 7; 1; 0; [2,1]; 0; 1
260; ../fuzzer-out-1/afl/queue/id:000033,src:000002+000003,op:splice,rep:2,+cov; 130229; 240123904; 7; 1; 0; [2,1]; 0; 1
261; ../fuzzer-out-1/afl/queue/id:000034,src:000002+000003,op:splice,rep:16,+cov; 130104; 240123904; 7; 1; 0; [2,1]; 0; 1
262; ../fuzzer-out-1/afl/queue/id:000035,src:000002+000003,op:splice,rep:16,+cov; 130914; 240123904; 7; 1; 0; [2,1]; 0; 1
270; ../fuzzer-out-1/afl/queue/id:000036,src:000002+000003,op:splice,rep:16,+cov; 137973; 240123904; 7; 1; 0; [2,1]; 0; 1
274; ../fuzzer-out-1/afl/queue/id:000037,src:000002+000019,op:splice,rep:2,+cov; 136498; 240123904; 7; 1; 0; [2,1]; 0; 1
277; ../fuzzer-out-1/afl/queue/id:000038,src:000002+000019,op:splice,rep:16,+cov; 130762; 240123904; 7; 1; 0; [2,1]; 0; 1
278; ../fuzzer-out-1/afl/queue/id:000039,src:000002+000019,op:splice,rep:16,+cov; 135786; 240123904; 7; 1; 0; [2,1]; 0; 1
281; ../fuzzer-out-1/afl/queue/id:000040,src:000002+000019,op:splice,rep:8,+cov; 132001; 240123904; 7; 1; 0; [2,1]; 0; 1
301; ../fuzzer-out-1/afl/queue/id:000041,src:000002+000029,op:splice,rep:4,+cov; 149795; 240123904; 7; 1; 0; [2,1]; 0; 1
307; ../fuzzer-out-1/afl/queue/id:000042,src:000003,op:havoc,rep:8,+cov; 125589; 240123904; 7; 1; 0; [2,1]; 0; 1
311; ../fuzzer-out-1/afl/queue/id:000043,src:000003,op:havoc,rep:2,+cov; 134211; 240123904; 7; 1; 0; [2,1]; 0; 1
316; ../fuzzer-out-1/afl/queue/id:000044,src:000003,op:havoc,rep:16,+cov; 132788; 240123904; 7; 1; 0; [2,1]; 0; 1
323; ../fuzzer-out-1/afl/queue/id:000045,src:000003,op:havoc,rep:8,+cov; 135590; 240123904; 7; 1; 0; [2,1]; 0; 1
334; ../fuzzer-out-1/afl/queue/id:000046,src:000003,op:havoc,rep:16,+cov; 124535; 240123904; 7; 1; 0; [2,1]; 0; 1
336; ../fuzzer-out-1/afl/queue/id:000047,src:000003,op:havoc,rep:16,+cov; 129036; 240123904; 7; 1; 0; [2,1]; 0; 1
346; ../fuzzer-out-1/afl/queue/id:000048,src:000003,op:havoc,rep:8,+cov; 129617; 240123904; 7; 1; 0; [2,1]; 0; 1
351; ../fuzzer-out-1/afl/queue/id:000049,src:000003,op:havoc,rep:32,+cov; 134321; 240123904; 7; 1; 0; [2,1]; 0; 1
357; ../fuzzer-out-1/afl/queue/id:000050,src:000003,op:havoc,rep:2,+cov; 138451; 240123904; 7; 1; 0; [2,1]; 0; 1
361; ../fuzzer-out-1/afl/queue/id:000051,src:000003,op:havoc,rep:16,+cov; 166034; 240123904; 7; 1; 0; [2,1]; 0; 1
363; ../fuzzer-out-1/afl/queue/id:000052,src:000003,op:havoc,rep:32,+cov; 132163; 240123904; 7; 1; 0; [2,1]; 0; 1
366; ../fuzzer-out-1/afl/queue/id:000053,src:000003,op:havoc,rep:16,+cov; 133270; 240123904; 7; 1; 0; [2,1]; 0; 1
374; ../fuzzer-out-1/afl/queue/id:000054,src:000003,op:havoc,rep:64,+cov; 129046; 240123904; 7; 1; 0; [2,1]; 0; 1
391; ../fuzzer-out-1/afl/queue/id:000055,src:000003+000041,op:splice,rep:64,+cov; 128429; 240123904; 7; 1; 0; [2,1]; 0; 1
392; ../fuzzer-out-1/afl/queue/id:000056,src:000003+000041,op:splice,rep:4,+cov; 140374; 240123904; 7; 1; 0; [2,1]; 0; 1
418; ../fuzzer-out-1/afl/queue/id:000057,src:000003+000012,op:splice,rep:2,+cov; 130484; 240123904; 7; 1; 0; [2,1]; 0; 1
427; ../fuzzer-out-1/afl/queue/id:000058,src:000003+000046,op:splice,rep:8,+cov; 135094; 240123904; 7; 1; 0; [2,1]; 0; 1
429; ../fuzzer-out-1/afl/queue/id:000059,src:000003+000046,op:splice,rep:8,+cov; 138618; 240123904; 7; 1; 0; [2,1]; 0; 1
432; ../fuzzer-out-1/afl/queue/id:000060,src:000003+000046,op:splice,rep:4,+cov; 130859; 240123904; 7; 1; 0; [2,1]; 0; 1
433; ../fuzzer-out-1/afl/queue/id:000061,src:000003+000046,op:splice,rep:4,+cov; 133300; 240123904; 7; 1; 0; [2,1]; 0; 1
437; ../fuzzer-out-1/afl/queue/id:000062,src:000003+000046,op:splice,rep:8,+cov; 128466; 240123904; 7; 1; 0; [2,1]; 0; 1
437; ../fuzzer-out-1/afl/queue/id:000063,src:000003+000046,op:splice,rep:4,+cov; 124332; 240123904; 7; 1; 0; [2,1]; 0; 1
440; ../fuzzer-out-1/afl/queue/id:000064,src:000003+000046,op:splice,rep:4,+cov; 129193; 240123904; 7; 1; 0; [2,1]; 0; 1
443; ../fuzzer-out-1/afl/queue/id:000065,src:000003+000046,op:splice,rep:8,+cov; 134341; 240123904; 7; 1; 0; [2,1]; 0; 1
456; ../fuzzer-out-1/afl/queue/id:000066,src:000004,op:havoc,rep:4,+odiff; 134174; 240123904; 8; 2; 1; [1,0]; 1; 1
458; ../fuzzer-out-1/afl/queue/id:000067,src:000004,op:havoc,rep:16,+cov; 134640; 240123904; 7; 1; 0; [2,1]; 0; 1
476; ../fuzzer-out-1/afl/queue/id:000068,src:000004,op:havoc,rep:2,+cov; 132239; 240123904; 7; 1; 0; [2,1]; 0; 1
482; ../fuzzer-out-1/afl/queue/id:000069,src:000004,op:havoc,rep:16,+cov; 127207; 240123904; 7; 1; 0; [2,1]; 0; 1
499; ../fuzzer-out-1/afl/queue/id:000070,src:000004,op:havoc,rep:4,+cov; 141898; 240123904; 7; 1; 0; [2,1]; 0; 1
500; ../fuzzer-out-1/afl/queue/id:000071,src:000004,op:havoc,rep:8,+cov; 124884; 240123904; 7; 1; 0; [2,1]; 0; 1
509; ../fuzzer-out-1/afl/queue/id:000072,src:000004,op:havoc,rep:4,+cov; 135633; 240123904; 7; 1; 0; [2,1]; 0; 1
518; ../fuzzer-out-1/afl/queue/id:000073,src:000004,op:havoc,rep:8,+cov; 34803463; 240123904; 7; 1; 0; [2,1]; 0; 1
526; ../fuzzer-out-1/afl/queue/id:000074,src:000004,op:havoc,rep:8,+cov; 125577; 240123904; 7; 1; 0; [2,1]; 0; 1
538; ../fuzzer-out-1/afl/queue/id:000075,src:000004,op:havoc,rep:16,+cov; 146839; 240123904; 7; 1; 0; [2,1]; 0; 1
543; ../fuzzer-out-1/afl/queue/id:000076,src:000004,op:havoc,rep:8,+cov; 127997; 240123904; 7; 1; 0; [2,1]; 0; 1
544; ../fuzzer-out-1/afl/queue/id:000077,src:000004,op:havoc,rep:4,+cov; 129992; 240123904; 7; 1; 0; [2,1]; 0; 1
556; ../fuzzer-out-1/afl/queue/id:000078,src:000004+000053,op:splice,rep:2,+cov; 139236; 240123904; 7; 1; 0; [2,1]; 0; 1
558; ../fuzzer-out-1/afl/queue/id:000079,src:000004+000053,op:splice,rep:2,+cov; 134401; 240123904; 7; 1; 0; [2,1]; 0; 1
567; ../fuzzer-out-1/afl/queue/id:000080,src:000004+000056,op:splice,rep:8,+cov; 131765; 240123904; 7; 1; 0; [2,1]; 0; 1
575; ../fuzzer-out-1/afl/queue/id:000081,src:000004+000055,op:splice,rep:8,+cov; 132623; 240123904; 7; 1; 0; [2,1]; 0; 1
580; ../fuzzer-out-1/afl/queue/id:000082,src:000004+000065,op:splice,rep:8,+cov; 124994; 240123904; 7; 1; 0; [2,1]; 0; 1
590; ../fuzzer-out-1/afl/queue/id:000083,src:000004+000079,op:splice,rep:2,+cov; 137994; 240123904; 7; 1; 0; [2,1]; 0; 1
598; ../fuzzer-out-1/afl/queue/id:000084,src:000004+000081,op:splice,rep:8,+cov; 131819; 240123904; 7; 1; 0; [2,1]; 0; 1
