Time(sec); File; Runtime; Memory; Instr.; User-Defined; Patch-Touch; Patch-Dist.; Output Diff.; Decision Dist.
0; ../hydiff-out-1/afl-spf/queue/id:000000,orig:example.txt; 140597; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000000,orig:example.txt
1; ../hydiff-out-1/afl-spf/queue/id:000001,sync:afl,src:000001,+cov,highscore,+odiff; 146773; 231211008; 8; 2; 1; [0,0]; 1; 1
synced file: id:000001,src:000000,op:havoc,rep:16,+cov,highscore,+odiff,+patchdist
2; ../hydiff-out-1/afl-spf/queue/id:000002,sync:afl,src:000002,+cov,+ddiff; 144003; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000002,src:000000,op:havoc,rep:32,+cov,+ddiff
4; ../hydiff-out-1/afl-spf/queue/id:000003,sync:afl,src:000003,+cov; 145279; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000003,src:000000+000002,op:splice,rep:8,+cov
5; ../hydiff-out-1/afl-spf/queue/id:000004,sync:afl,src:000004,+cov; 139105; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000004,src:000000+000002,op:splice,rep:2,+cov
5; ../hydiff-out-1/afl-spf/queue/id:000005,sync:afl,src:000005,+cov; 130075; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000005,src:000000+000002,op:splice,rep:2,+cov
6; ../hydiff-out-1/afl-spf/queue/id:000006,sync:afl,src:000006,+cov; 144211; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000006,src:000000+000002,op:splice,rep:16,+cov
7; ../hydiff-out-1/afl-spf/queue/id:000007,sync:afl,src:000007,+cov; 144343; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000007,src:000000+000002,op:splice,rep:2,+cov
8; ../hydiff-out-1/afl-spf/queue/id:000008,sync:afl,src:000008,+cov; 152506; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000008,src:000000+000002,op:splice,rep:2,+cov
9; ../hydiff-out-1/afl-spf/queue/id:000009,sync:afl,src:000009,+cov; 145567; 231211008; 7; 1; 0; [0,0]; 0; 1
synced file: id:000009,src:000000+000005,op:splice,rep:64,+cov
