Time(sec); File; Runtime; Memory; Instr.; User-Defined; Patch-Touch; Patch-Dist.; Output Diff.; Decision Dist.
0; ../hydiff-out-1/afl/queue/id:000000,orig:example.txt; 133328; 240123904; 7; 1; 0; [1,1]; 0; 1
3; ../hydiff-out-1/afl/queue/id:000001,src:000000,op:havoc,rep:4,+cov,+ddiff; 127511; 240123904; 7; 1; 0; [2,1]; 0; 1
9; ../hydiff-out-1/afl/queue/id:000002,src:000000,op:havoc,rep:16,+cov,highscore,+odiff,+patchdist; 134927; 240123904; 8; 2; 1; [1,0]; 1; 1
26; ../hydiff-out-1/afl/queue/id:000003,src:000000,op:havoc,rep:64,+cov; 136911; 240123904; 7; 1; 0; [2,1]; 0; 1
53; ../hydiff-out-1/afl/queue/id:000004,src:000000,op:havoc,rep:8,+cov; 141955; 240123904; 7; 1; 0; [2,1]; 0; 1
105; ../hydiff-out-1/afl/queue/id:000005,src:000000+000004,op:splice,rep:2,+cov; 135217; 240123904; 7; 1; 0; [2,1]; 0; 1
141; ../hydiff-out-1/afl/queue/id:000006,src:000001,op:havoc,rep:16,+cov; 131158; 240123904; 7; 1; 0; [2,1]; 0; 1
142; ../hydiff-out-1/afl/queue/id:000007,src:000001,op:havoc,rep:2,+cov; 129117; 240123904; 7; 1; 0; [2,1]; 0; 1
145; ../hydiff-out-1/afl/queue/id:000008,src:000001,op:havoc,rep:4,+cov; 128637; 240123904; 7; 1; 0; [2,1]; 0; 1
146; ../hydiff-out-1/afl/queue/id:000009,src:000001,op:havoc,rep:8,+cov; 123819; 240123904; 7; 1; 0; [2,1]; 0; 1
149; ../hydiff-out-1/afl/queue/id:000010,src:000001,op:havoc,rep:4,+cov; 129799; 240123904; 7; 1; 0; [2,1]; 0; 1
162; ../hydiff-out-1/afl/queue/id:000011,src:000001,op:havoc,rep:4,+cov; 135745; 240123904; 7; 1; 0; [2,1]; 0; 1
165; ../hydiff-out-1/afl/queue/id:000012,src:000001,op:havoc,rep:8,+cov; 138471; 240123904; 7; 1; 0; [2,1]; 0; 1
171; ../hydiff-out-1/afl/queue/id:000013,src:000001,op:havoc,rep:8,+cov; 132885; 240123904; 7; 1; 0; [2,1]; 0; 1
182; ../hydiff-out-1/afl/queue/id:000014,src:000001,op:havoc,rep:2,+cov; 136986; 240123904; 7; 1; 0; [2,1]; 0; 1
185; ../hydiff-out-1/afl/queue/id:000015,src:000001,op:havoc,rep:32,+cov; 130393; 240123904; 7; 1; 0; [2,1]; 0; 1
189; ../hydiff-out-1/afl/queue/id:000016,src:000001,op:havoc,rep:2,+cov; 130070; 240123904; 7; 1; 0; [2,1]; 0; 1
190; ../hydiff-out-1/afl/queue/id:000017,src:000001,op:havoc,rep:8,+cov; 142746; 240123904; 7; 1; 0; [2,1]; 0; 1
193; ../hydiff-out-1/afl/queue/id:000018,src:000001,op:havoc,rep:8,+cov; 133119; 240123904; 7; 1; 0; [2,1]; 0; 1
211; ../hydiff-out-1/afl/queue/id:000019,src:000001,op:havoc,rep:16,+cov; 131103; 240123904; 7; 1; 0; [2,1]; 0; 1
212; ../hydiff-out-1/afl/queue/id:000020,src:000001,op:havoc,rep:4,+cov; 131823; 240123904; 7; 1; 0; [2,1]; 0; 1
215; ../hydiff-out-1/afl/queue/id:000021,src:000001,op:havoc,rep:8,+cov; 125579; 240123904; 7; 1; 0; [2,1]; 0; 1
217; ../hydiff-out-1/afl/queue/id:000022,src:000001,op:havoc,rep:16,+cov; 128243; 240123904; 7; 1; 0; [2,1]; 0; 1
221; ../hydiff-out-1/afl/queue/id:000023,src:000001,op:havoc,rep:4,+cov; 133155; 240123904; 7; 1; 0; [2,1]; 0; 1
222; ../hydiff-out-1/afl/queue/id:000024,src:000001,op:havoc,rep:16,+cov; 124321; 240123904; 7; 1; 0; [2,1]; 0; 1
224; ../hydiff-out-1/afl/queue/id:000025,src:000001,op:havoc,rep:4,+cov; 130177; 240123904; 7; 1; 0; [2,1]; 0; 1
229; ../hydiff-out-1/afl/queue/id:000026,src:000001,op:havoc,rep:2,+cov; 135228; 240123904; 7; 1; 0; [2,1]; 0; 1
231; ../hydiff-out-1/afl/queue/id:000027,src:000001,op:havoc,rep:8,+cov; 127934; 240123904; 7; 1; 0; [2,1]; 0; 1
241; ../hydiff-out-1/afl/queue/id:000028,src:000001+000011,op:splice,rep:4,+cov; 132794; 240123904; 7; 1; 0; [2,1]; 0; 1
245; ../hydiff-out-1/afl/queue/id:000029,src:000001+000002,op:splice,rep:4,+cov; 138568; 240123904; 7; 1; 0; [2,1]; 0; 1
246; ../hydiff-out-1/afl/queue/id:000030,src:000001+000002,op:splice,rep:2,+cov; 130987; 240123904; 7; 1; 0; [2,1]; 0; 1
259; ../hydiff-out-1/afl/queue/id:000031,src:000001+000010,op:splice,rep:16,+cov; 138350; 240123904; 7; 1; 0; [2,1]; 0; 1
261; ../hydiff-out-1/afl/queue/id:000032,src:000001+000010,op:splice,rep:8,+cov; 134023; 240123904; 7; 1; 0; [2,1]; 0; 1
269; ../hydiff-out-1/afl/queue/id:000033,src:000001+000017,op:splice,rep:2,+cov; 137810; 240123904; 7; 1; 0; [2,1]; 0; 1
273; ../hydiff-out-1/afl/queue/id:000034,src:000001+000017,op:splice,rep:2,+cov; 119762; 240123904; 7; 1; 0; [2,1]; 0; 1
284; ../hydiff-out-1/afl/queue/id:000035,src:000001+000025,op:splice,rep:8,+cov; 131027; 240123904; 7; 1; 0; [2,1]; 0; 1
287; ../hydiff-out-1/afl/queue/id:000036,src:000001+000025,op:splice,rep:8,+cov; 142127; 240123904; 7; 1; 0; [2,1]; 0; 1
