# time, numberOfNodes, lengthPrioQueue, instructionMapping, sizeSolutionQueue , alreadyReadInputFiles 
1,5,5,5,0,1
1,6,4,4,1,1
1,6,5,5,0,1
1,7,4,4,1,1
1,8,6,6,0,1
1,9,5,5,1,1
1,10,7,7,0,1
1,11,6,6,1,1
1,12,7,7,0,1
1,13,6,6,1,1
1,14,7,7,0,1
1,15,6,6,1,1
1,15,6,6,0,1
2,16,5,5,1,1
2,16,5,5,0,1
2,17,4,4,1,1
2,17,4,4,0,1
2,18,3,3,1,1
2,18,3,3,0,1
2,19,2,2,0,1
2,19,2,2,0,1
2,19,2,2,0,5
2,20,1,1,1,5
2,20,1,1,0,5
2,21,0,0,0,5
2,21,0,0,0,5
726,21,0,0,0,6
302,21,0,0,0,6
786,21,0,0,0,7
362,21,0,0,0,7
1322,21,0,0,0,8
1806,21,0,0,0,8
