Input file; Time; Memory; Instr.; User-Defined
fuzzer-out/afl/queue/id:000000,orig:example.txt; 65004717; 251658240; 815; 0
fuzzer-out/afl/queue/id:000001,src:000000,op:havoc,rep:32,+cov; 71324987; 251658240; 593; 0
fuzzer-out/afl/queue/id:000002,src:000000,op:havoc,rep:4; 64412307; 251658240; 2119; 0
fuzzer-out/afl/queue/id:000003,src:000000,op:havoc,rep:8; 80114746; 251658240; 1665; 0
fuzzer-out/afl/queue/id:000004,src:000000,op:havoc,rep:32; 79150849; 251658240; 2327; 0
fuzzer-out/afl/queue/id:000005,src:000000,op:havoc,rep:128; 63183159; 251658240; 1059; 0
fuzzer-out/afl/queue/id:000006,src:000000,op:havoc,rep:4; 77246628; 251658240; 2231; 0
fuzzer-out/afl/queue/id:000007,src:000000,op:havoc,rep:8; 73763422; 251658240; 1363; 0
fuzzer-out/afl/queue/id:000008,src:000000,op:havoc,rep:16,+cov; 75116735; 251658240; 49; 0
fuzzer-out/afl/queue/id:000009,src:000000,op:havoc,rep:4; 68369618; 251658240; 1849; 0
fuzzer-out/afl/queue/id:000010,src:000000,op:havoc,rep:128; 74988233; 251658240; 2957; 0
fuzzer-out/afl/queue/id:000011,src:000000,op:havoc,rep:2; 77132463; 251658240; 2941; 0
fuzzer-out/afl/queue/id:000012,src:000000,op:havoc,rep:32; 62778746; 251658240; 587; 0
fuzzer-out/afl/queue/id:000013,src:000000,op:havoc,rep:8; 68532975; 251658240; 143; 0
fuzzer-out/afl/queue/id:000014,src:000000,op:havoc,rep:16,+cov; 64337395; 251658240; 127; 0
fuzzer-out/afl/queue/id:000015,src:000000+000012,op:splice,rep:32; 62766570; 251658240; 75; 0
fuzzer-out/afl/queue/id:000016,src:000000+000012,op:splice,rep:32; 66728939; 251658240; 829; 0
fuzzer-out/afl/queue/id:000017,src:000000+000012,op:splice,rep:8; 71279516; 251658240; 1155; 0
fuzzer-out/afl/queue/id:000018,src:000000+000017,op:splice,rep:64; 66671579; 251658240; 439; 0
fuzzer-out/afl/queue/id:000019,src:000002+000018,op:splice,rep:4; 67345814; 251658240; 2293; 0
fuzzer-out/afl/queue/id:000020,src:000002+000018,op:splice,rep:8; 62336716; 251658240; 101; 0
fuzzer-out/afl/queue/id:000021,src:000002+000012,op:splice,rep:16; 64995393; 251658240; 907; 0
fuzzer-out/afl/queue/id:000022,src:000009+000013,op:splice,rep:4; 60560360; 251658240; 179; 0
fuzzer-out/afl/queue/id:000023,src:000013+000021,op:splice,rep:64; 64420272; 251658240; 4511; 0
fuzzer-out/afl/queue/id:000024,src:000002,op:havoc,rep:8; 73795824; 251658240; 5015; 0
fuzzer-out/afl/queue/id:000025,src:000002+000011,op:splice,rep:32; 75573237; 251658240; 6679; 0
fuzzer-out/afl/queue/id:000026,src:000008+000002,op:splice,rep:16; 76132151; 251658240; 4685; 0
